타임스탬프,A1. 귀하는 건강기능식품을 섭취하고 계시나요?,B1. 현재 섭취 중인 건강기능식품은 어떤 제품인가요?,B2. 건강기능식품을 섭취하시는 이유는 무엇인가요? (중복 선택 가능),B3. 건강기능식품을 섭취하는 빈도는 어떻게 되시나요?,B4. 건강기능식품의 섭취 시간대는 언제인가요?,B5. 섭취하고 있는 건강기능식품에 대한 전반적인 만족은 어느 정도인가요?,B6. 건강기능식품을 구매할 때 가장 중요하게 생각하는 요소는 무엇인가요?,B7. 건강기능식품을 구매할 때 주로 이용하는 채널은 무엇인가요?,"C1. 새로운 건강기능식품이 출시된다면, 어떤 점을 개선하거나 추가했으면 좋겠다고 생각하시나요?",C2. 건강기능식품에서 선호하는 주요 원료는 무엇인가요? (최대 3개 선택 가능),C4. 건강기능식품에 대한 정보를 주로 얻는 경로는 무엇인가요? (중복 선택 가능),C5. 건강기능식품에 대한 정보를 찾을 때 중요하게 생각하는 요소는 무엇인가요?,C6. 건강기능식품 원료의 출처에 대해 얼마나 중요하게 생각하시나요?,Z1. 건강기능식품을 섭취하지 않는 이유는 무엇인가요? 자유롭게 작성해 주세요.,Z2. 앞으로 건강기능식품을 구매할 의향이 있나요?,D1. 귀하의 성별은 어떻게 됩니까?,D2. 귀하의 연령은 만 몇 세 입니까?
2024-02-07 6:24,예,엑세라민,피부 건강,nan,nan,5,브랜드 신뢰도,마트,효과 증대,프로바이오틱스,인터넷 검색,성분 분석,5,모름,3,여자,58
2024-06-07 22:24,예,nan,피로 회복,매일,점심,4,가격,온라인 쇼핑몰,효과 증대,홍삼,nan,사용 후기,2,nan,5,여자,41
2024-11-10 5:08,예,비타민D,면역력 강화,nan,nan,4,효과,nan,가격 인하,홍삼,전문가 추천,성분 분석,1,비용이 너무 비싸서,3,여자,58
2024-04-08 15:34,아니오,nan,모름,주 2~3회,점심,5,성분,마트,nan,프로바이오틱스,친구 및 가족,nan,,nan,2,여자,42
2024-02-08 17:29,예,엑세라민,모름,한 달에 한 번,저녁,5,가격,약국,효과 증대,nan,인터넷 검색,가격 비교,2,효과를 믿지 않아서,3,남자,49
2024-01-26 22:34,아니오,루테인,면역력 강화,한 달에 한 번,저녁,5,구매 편의성,마트,섭취가 편한 제품,비타민 C,전문가 추천,성분 분석,,nan,2,남자,37
2024-09-12 18:08,예,모름,면역력 강화,주 2~3회,아무때나,3,효과,약국,크기를 작게,프로바이오틱스,소셜 미디어,전문가 의견,3,모름,1,여자,61
2024-01-08 7:22,아니오,엑세라민,피로 회복,주 1회,점심,4,성분,nan,효과 증대,비타민 C,친구 및 가족,사용 후기,,효과를 믿지 않아서,4,여자,37
2024-08-12 8:01,아니오,nan,피부 건강,주 1회,아무때나,,브랜드 신뢰도,nan,nan,nan,전문가 추천,전문가 의견,1,비용이 너무 비싸서,5,남자,65
2024-02-14 5:01,예,모름,모름,한 달에 한 번,점심,4,성분,백화점,가격 인하,홍삼,전문가 추천,성분 분석,4,비용이 너무 비싸서,4,여자,29
