품목,2018,2019,2020,2021,2022
비타민 및 무기질,248353287,270142098,298846590,335408567,460563526
식이섬유(보충용),18906283,1656229,435364,291316,1925935
단백질,7774877,28312760,40531956,57422709,170139145
필수지방산,912487,818250,981245,977542,1861549
인삼,20539526,21436823,11057172,9605286,11355298
홍삼,1109550597,1059797470,1060887944,1047199019,984816249
엽록소 함유 식물,359485,286971,235299,303032,213162
클로렐라,8849427,7029585,8972494,7046397,6663698
스피루리나,6661822,6306446,6861458,3951338,7940632
녹차추출물,22062673,15107336,23607687,20965484,32369542
알로에,47779242,49618707,48655653,54344685,47820381
프로폴리스추출물,13272138,16390099,35217492,27847167,36372587
코엔자임Q10,11421438,9215659,13338779,23776154,19730462
대두이소플라본,9946254,5958875,1378809,2086142,1504776
구아바잎 추출물,49795,40442,2607,23586,0
바나바잎 추출물,1438770,992450,1568901,2946010,4240101
은행잎 추출물,9094203,7737289,8478134,9843708,10469558
밀크씨슬 추출물,82331907,45118848,41078740,48644687,61820337
달맞이꽃종자 추출물,56153,362465,480745,476379,145700
EPA 및 DHA 함유 유지,75496275,103490050,139258993,236682605,281857037
감마리놀렌산 함유 유지,6736692,8955026,15545223,12208355,14083541
레시틴,903177,862194,760822,743913,1573286
스쿠알렌,3498708,2343136,2472034,3215996,4175037
식물스테롤/식물스테롤에스테르,0,0,0,0,0
알콕시글리세롤 함유 상어간유,3026243,2353066,5161990,6117212,5884421
옥타코사놀 함유 유지,6402043,3873216,3532092,3959462,2657380
매실추출물,32478,20287,0,0,4700
공액리놀레산,5200363,6858387,4252331,3308158,2729271
가르시니아캄보지아추출물,37451011,38623888,35127448,49161253,56158003
마리골드꽃추출물,42264503,43963739,52462481,39007220,37677051
헤마토코쿠스추출물,2244089,2841216,2109949,1840358,7699361
쏘팔메토열매추출물,16012490,19990560,29929820,43879479,45648436
포스파티딜세린,806619,2657123,5157915,5970832,7707155
글루코사민,2660468,3255109,3556557,2547783,2633065
N-아세틸글루코사민,6638891,8357598,9026714,11327206,8856469
뮤코다당∙단백,0,203509,145894,80880,285212
식이섬유,1602970,20980907,23526920,29366664,48984091
영지버섯자실체추출물,1081898,54980,28438,26175,6259
키토산/키토올리고당,7236305,9453091,5624134,4921926,5644949
프락토올리고당,10436929,46240770,104345892,159836717,34570007
프로바이오틱스,299367672,459358619,525628311,767687243,697739037
홍국,999140,748825,676411,925724,42923316
대두단백,0,0,0,0,0
테아닌,3894254,3545405,5623686,7849913,11341300
엠에스엠,15180304,19527692,34033762,66284154,69363897
폴리감마글루탐산,40153,83425,5652099,5266069,2475467
마늘,163746,140640,38094,420422,604145
빌베리추출물,67246,111005,203391,351190,444158
홍경천추출물,2850923,2112526,2902160,2385143,4235011
히알루론산,6493142,9651950,13397517,17217768,10386080
난소화성말토덱스트린,14160594,26288423,23886780,27193964,32364426
폴리덱스트로스,2926588,1165632,1669070,2592760,5957960
기타,4182427,7780160,12687829,19864520,11801116
개별인정제품,322631759,548565971,654346210,846729867,851101248
