"품목별(1)",2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"품목별(1)",매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원),매출액 (천원),국내판매액 (천원),수출액 (천원)
"계",2522050463,2396224801,125825661,2950786930,2808102867,142684063,3325388036,3098950173,226437863,4032130137,3801497841,230632295,4169524533,3891414177,278110356
"비타민 및 무기질",248353287,238764363,9588924,270142098,260173737,9968361,298846590,276016616,22829974,335408567,316077690,19330877,460563526,423920090,36643436
"식이섬유(보충용)",18906283,18847870,58413,1656229,1630885,25344,435364,408120,27244,291316,271476,19840,1925935,1689924,236011
"단백질",7774877,6826101,948776,28312760,27033889,1278871,40531956,37505765,3026191,57422709,55160971,2261737,170139145,168429943,1709202
"필수지방산",912487,897656,14831,818250,818250,-,981245,981245,-,977542,977542,-,1861549,1861549,-
"인삼",20539526,14737244,5802282,21436823,15592241,5844582,11057172,4702790,6354383,9605286,3459685,6145601,11355298,4854231,6501067
"홍삼",1109550597,1077247233,32303364,1059797470,1028292085,31505385,1060887944,1012537958,48349986,1047199019,991889850,55309169,984816249,929677801,55138448
"엽록소 함유 식물",359485,359485,-,286971,286971,-,235299,235299,-,303032,303032,-,213162,213162,-
"클로렐라",8849427,4411512,4437915,7029585,3407718,3621867,8972494,3253830,5718664,7046397,2650635,4395762,6663698,2353029,4310669
"스피루리나",6661822,6307162,354660,6306446,5823363,483083,6861458,5556401,1305057,3951338,3948065,3274,7940632,4843232,3097400
"녹차추출물",22062673,21978032,84641,15107336,15002137,105199,23607687,23383223,224464,20965484,20606510,358974,32369542,31918414,451128
"알로에",47779242,44299033,3480209,49618707,46978082,2640625,48655653,45534349,3121305,54344685,52483835,1860851,47820381,46314204,1506177
"프로폴리스추출물",13272138,12995496,276642,16390099,16217268,172831,35217492,35081651,135841,27847167,27192092,655074,36372587,35123075,1249512
"코엔자임Q10",11421438,11284753,136685,9215659,8496397,719262,13338779,11622088,1716691,23776154,15189696,8586458,19730462,16187856,3542606
"대두이소플라본",9946254,9937009,9245,5958875,5958875,-,1378809,1378809,-,2086142,1997794,88348,1504776,1430714,74062
"구아바잎 추출물",49795,49795,-,40442,-,40442,2607,2607,-,23586,23586,-,-,-,-
"바나바잎 추출물",1438770,1386540,52231,992450,992450,-,1568901,1460364,108537,2946010,2900695,45315,4240101,4161372,78729
"은행잎 추출물",9094203,8963684,130519,7737289,7425175,312114,8478134,8255976,222158,9843708,9729784,113924,10469558,10234560,234998
"밀크씨슬 추출물",82331907,81328275,1003632,45118848,42798771,2320077,41078740,39369868,1708872,48644687,45996293,2648394,61820337,52160048,9660289
"달맞이꽃종자 추출물",56153,56153,-,362465,362465,-,480745,480745,-,476379,476379,-,145700,145700,-
