발생년월일시,사망자수
2020-01-01 05,1
2020-01-01 05,1
2020-01-01 07,1
2020-01-01 10,1
2020-01-01 11,1
2020-01-01 19,1
2020-01-01 20,1
2020-01-01 21,1
2020-01-02 02,1
2020-01-02 06,1
2020-01-02 07,1
2020-01-02 07,1
2020-01-02 09,1
2020-01-02 14,1
2020-01-02 15,1
2020-01-02 16,1
2020-01-02 18,1
2020-01-02 18,2
2020-01-02 19,1
2020-01-02 22,1
2020-01-02 22,1
2020-01-03 02,1
2020-01-03 03,1
2020-01-03 05,1
2020-01-03 06,1
2020-01-03 08,1
2020-01-03 13,1
2020-01-03 14,1
2020-01-03 15,1
2020-01-03 19,1
2020-01-03 23,1
2020-01-04 00,1
2020-01-04 06,1
2020-01-04 07,1
2020-01-04 13,1
2020-01-04 16,1
2020-01-05 00,1
2020-01-05 02,1
2020-01-05 14,1
2020-01-05 18,1
2020-01-05 18,1
2020-01-05 19,1
2020-01-05 19,1
2020-01-05 20,1
2020-01-06 05,1
2020-01-06 07,1
2020-01-06 07,1
2020-01-06 07,1
2020-01-06 10,1
2020-01-06 13,1
2020-01-06 18,1
2020-01-06 23,1
2020-01-06 23,1
2020-01-07 01,1
2020-01-07 06,1
2020-01-07 17,1
2020-01-07 17,1
2020-01-07 17,1
2020-01-07 22,1
2020-01-08 03,1
2020-01-08 15,1
2020-01-09 07,1
2020-01-09 09,1
2020-01-09 13,1
2020-01-09 15,1
2020-01-09 23,1
2020-01-10 01,1
2020-01-10 02,1
2020-01-10 04,1
2020-01-10 06,1
2020-01-10 07,1
2020-01-10 08,1
2020-01-10 09,1
2020-01-10 10,1
2020-01-10 15,1
2020-01-10 16,1
2020-01-10 17,1
2020-01-10 18,1
2020-01-10 23,1
2020-01-10 23,1
2020-01-10 23,1
2020-01-11 06,1
2020-01-11 09,1
2020-01-11 16,1
2020-01-11 18,1
2020-01-11 19,1
2020-01-11 20,1
2020-01-11 20,1
2020-01-12 14,1
2020-01-12 16,1
2020-01-12 18,1
2020-01-13 04,1
2020-01-13 06,1
2020-01-13 06,1
2020-01-13 06,1
2020-01-13 14,1
2020-01-13 17,1
2020-01-13 17,1
2020-01-13 18,1
2020-01-13 19,1
2020-01-13 19,1
2020-01-13 20,1
2020-01-13 20,1
2020-01-13 20,1
2020-01-14 00,1
2020-01-14 06,1
2020-01-14 06,1
2020-01-14 07,1
2020-01-14 10,1
2020-01-14 10,1
2020-01-14 10,1
2020-01-14 11,1
2020-01-14 13,1
2020-01-14 14,1
2020-01-14 16,1
2020-01-14 17,1
2020-01-14 18,1
2020-01-14 19,1
2020-01-14 21,1
2020-01-15 02,1
2020-01-15 05,1
2020-01-15 06,1
2020-01-15 07,1
2020-01-15 07,1
2020-01-15 07,1
2020-01-15 07,1
2020-01-15 10,1
2020-01-15 13,1
2020-01-15 13,1
2020-01-15 15,1
2020-01-15 15,1
2020-01-15 16,1
2020-01-15 17,1
2020-01-15 18,1
2020-01-15 18,1
2020-01-15 18,1
2020-01-15 20,1
2020-01-15 20,1
2020-01-16 00,1
2020-01-16 13,1
2020-01-16 15,1
2020-01-16 15,1
2020-01-16 18,1
2020-01-17 05,1
2020-01-17 06,1
2020-01-17 11,1
2020-01-17 18,1
2020-01-17 21,1
2020-01-17 21,1
2020-01-17 21,1
2020-01-17 21,1
2020-01-17 22,1
2020-01-17 22,1
2020-01-18 05,1
2020-01-18 06,1
2020-01-18 06,1
2020-01-18 18,1
2020-01-18 23,1
2020-01-19 01,1
2020-01-19 06,1
2020-01-19 08,1
2020-01-19 14,1
2020-01-19 15,1
2020-01-19 15,1
2020-01-19 19,1
2020-01-19 20,1
2020-01-20 04,1
2020-01-20 07,1
2020-01-20 10,1
2020-01-20 12,1
2020-01-20 15,1
2020-01-21 06,1
2020-01-21 06,1
2020-01-21 12,1
2020-01-21 12,1
2020-01-21 13,1
2020-01-21 16,1
2020-01-21 18,1
2020-01-21 18,1
2020-01-21 18,1
2020-01-21 19,1
2020-01-21 21,1
2020-01-21 22,1
2020-01-22 01,1
2020-01-22 06,1
2020-01-22 07,1
2020-01-22 11,1
2020-01-22 12,1
2020-01-22 18,1
2020-01-22 18,1
2020-01-22 18,1
2020-01-22 18,1
2020-01-22 20,1
2020-01-22 22,1
2020-01-22 23,1
2020-01-22 23,1
2020-01-23 01,2
2020-01-23 03,1
2020-01-23 05,1
2020-01-23 08,1
2020-01-23 08,1
2020-01-23 09,1
2020-01-23 09,1
2020-01-23 12,1
2020-01-23 13,1
2020-01-23 13,1
2020-01-23 14,1
2020-01-23 17,1
2020-01-23 18,1
2020-01-23 18,1
2020-01-23 22,1
2020-01-23 23,1
2020-01-24 05,1
2020-01-24 05,1
2020-01-24 06,1
2020-01-24 14,1
2020-01-24 17,1
2020-01-24 17,1
2020-01-24 18,1
2020-01-25 00,1
2020-01-25 15,1
2020-01-25 22,1
2020-01-26 00,1
2020-01-26 06,1
2020-01-26 10,1
2020-01-26 18,1
2020-01-26 23,1
2020-01-27 01,1
2020-01-27 05,1
2020-01-27 05,1
2020-01-27 06,1
2020-01-27 18,1
2020-01-27 18,1
2020-01-27 18,1
2020-01-27 20,1
2020-01-28 02,1
2020-01-28 04,1
2020-01-28 09,1
2020-01-28 10,1
2020-01-28 10,1
2020-01-28 16,1
2020-01-28 18,1
2020-01-29 07,1
2020-01-29 10,2
2020-01-29 11,1
2020-01-29 11,1
2020-01-29 12,1
2020-01-29 13,1
2020-01-29 14,1
2020-01-29 15,1
2020-01-29 15,1
2020-01-29 18,1
2020-01-29 19,1
2020-01-29 22,1
2020-01-30 01,1
2020-01-30 02,1
